"english","part_of_speech"
"starry","adj."
"start-up","n./adj."
"startling","adj."
"starvation","n."
"stature","n."
"stem","n./v."
"stereotype","n./v."
"stern","n./adj."
"stitch","n./v."
"stretch","n./v./adj."
"strip","n./v."
"stripe","n./v."
"striped","adj."
"stroke","n./v."
"stubble","n."
"stun","n./v."
"subconscious","n./adj."
"subjective","adj."
"subtle","adj."
"succession","n."
"sugary","adj."
"suitcase","n."
"sunrise","n./adj."
"superficial","n./adj."
"superhighway","n."
"supermodel","n."
"supposedly","adv."
"suppress","v."
"supreme","n./adj."
"surge","n./v."
"surgeon","n."
"surgical","n./adj."
"surpass","v."
"surplus","n./adj."
"susceptibility","n."
"sushi","n."
"suspend","v."
"suspension","n."
"sustainability","n."
"sustenance","n."
"swarm","n./v."
"sway","n./v."
"swerve","n./v."
"swirl","n./v."
"Swiss","n./adj."
"symbiotic","adj."
"symphony","n."
"symptom","n."
"tackle","n./v."
"tailor","n./v."
"tangible","n./adj."
"tap","n./v."
"taunt","n./v./adj."
"tease","n./v."
"telling","n./adj."
"temporality","n."
"tempt","v."
"tendency","n."
"tender","n./v./adj."
"terrestrial","n./adj."
"terrific","adj."
"terrify","v."
"territory","n."
"terror","n."
"testament","n."
"testosterone","n."
"therapy","n."
"thiourea","n."
"thirst","n./v."
"thoughtful","adj."
"thread","n./v."
"thrive","v."
"throes","n."
"thyroid","n./adj."
"tick","n./v."
"tilt","n./v."
"time-scale","n."
"timeless","adj."
"timelessness","n."
"tinge","n./v."
"tinsel","n./v./adj."
"tint","n./v."
"toast","n./v."
"tolerant","adj."
"tolerate","v."
"toothbrush","n."
"toothpick","n."
"toss","n./v."
"trace","n./v."
"trade-off","n."
"trail","n./v."
"trait","n."
"transform","v."
"transformation","n."
"transience","n."
"transient","n./adj."
"transition","n./v."
"trap","n./v."
"traverse","n./v./adj."
"trendy","adj."
"triangle","n."
"tribe","n."
"trigger","n./v."
"triumph","n./v."
"trivial","adj."
"tropical","adj."
"trundle","n./v."
"TTFN","abbr."
"tuck","n./v."
"tumour","n."
"tumultuously","adv."
"tuna","n."
"turnover","n./adj."
"tweet","n./v."
"twitter","n./v."
"ultimately","adv."
"unbearable","adj."
"unconscious","adj."
"uncover","v."
"underwater","adj./adv."
"unfiltered","adj."
"unimaginative","adj."
"unintended","adj."
"uniqueness","n."
"universal","n./adj."
"universality","n."
"unlearn","v."
"unparalleled","adj."
"unrecognizable","adj."
"unremarked","adj."
"unrest","n."
"unwind","v."
"unwittingly","adv."
"unworldly","adj."
"urine","n."
"usage","n."
"utility","n./adj."
"utopian","n./adj."
"vacant","adj."
"validity","n."
"vanish","v."
"variation","n."
"veiled","adj."
"velvet","n./adj."
"vent","n./v."
"venture","n./v."
"verbatim","adj./adv."
"Victorian","n./adj."
"Vidin","n."
"Vietnam","n."
"vigorous","adj."
"vintage","n./v./adj."
"virtually","adv."
"visualize","v."
"vocal","n./adj."
"Vodafone","n."
"volcanic","n./adj."
"volition","n."
"Waldorf","n."
"wallpaper","n./v."
"wander","v."
"wardrobe","n."
"warehouse","n./v."
"wares","n./v."
"watercourse","n."
"weaken","v."
"wealthy","adj."
"weave","n./v."
"weep","n./v."
"welfare","n./adj."
"wherever","adv."
"whip","n./v."
"whisperer","n."
"wicker","n./adj."
"wilderness","n."
"willingly","adv."
"windmill","n."
"windup","n./adj."
"wither","v."
"wizard","n./adj."
"workaholism","n."
"workforce","n."
"wormhole","n."
"worrisome","adj."
"wrap","n./v."
"wrapper","n."
"wreck","n./v."
"yoga","n."
"yolk","n."
"yonder","adj./adv./pron."
"youngster","n."
"youthfully","adv."
"zucchini","n."
